molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL54976,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,6500000.0,Inactive,204.229,1.1223000000000003,3,2,2.1870866433571443
CHEMBL4641198,Nc1nc(N)c2nc3c(nc2n1)-c1cccc2cccc-3c12,810.0,Active,286.29800000000006,2.3848000000000003,2,6,6.091514981121351
CHEMBL4639534,Nc1nc(N)c2nc3c4ccccc4c4ccccc4c3nc2n1,50000.0,Inactive,312.3360000000001,3.043800000000002,2,6,4.301029995663981
CHEMBL4635593,Nc1nc(N)c2nc3c4cccnc4c4ncccc4c3nc2n1,5800.0,Intermediate,314.3120000000001,1.8338,2,8,5.236572006437063
CHEMBL48296,Nc1nc(N)c2nc(-c3ccccc3)c(-c3ccccc3)nc2n1,13600.0,Inactive,314.3520000000001,2.918200000000001,2,6,4.866461091629782
CHEMBL4644558,Nc1nc(N)c2nc(-c3ccco3)c(-c3ccco3)nc2n1,10400.0,Inactive,294.27400000000006,2.1042,2,8,4.982966660701219
CHEMBL4647373,Nc1nc(N)c2nc(-c3cccs3)c(-c3cccs3)nc2n1,1430.0,Intermediate,326.4100000000001,3.041200000000001,2,8,5.844663962534939
CHEMBL4743204,CC1=C(C(=O)Nc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)C(c2ccccc2)NC(=O)N1,840.0,Active,480.4770000000001,2.0009999999999994,6,5,6.075720713938118
CHEMBL4791810,CC1=C(C(=O)Nc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)C(c2ccc([N+](=O)[O-])cc2)NC(=O)N1,810.0,Active,525.4740000000002,1.9092,6,7,6.091514981121351
CHEMBL4748158,CC1=C(C(=O)Nc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)C(c2ccc(Cl)cc2)NC(=O)N1,530.0,Active,514.9220000000001,2.6544,6,5,6.275724130399211
